Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0031365,3.8801E-05,0.00019581,0,0,0,4.116,0.018909,2.9E-06,0.00096137,0.011988,2.2E-07,0.011296,0,0,0,0,0,0,package://kubot25_pkgs/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/base_link.STL,,최종 MX-106-1;최종 MX-106-2;요추 1-1;요추2_IMU ㄹ-1;kubot25_base_link-1;최종 MX28-2;최종 MX28-3;최종 MX28-4,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Neck_yaw,1.2504E-14,2.5464E-13,0.031083,0,0,0,0.03844,1.819E-05,0,0,5.34E-06,0,1.717E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Neck_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Neck_yaw.STL,,Neck-1,좌표계21,기준축19,Neck_yaw_joint,revolute,0.037762,5.0186E-05,0.063694,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Head_pitch,0.0016148,-0.00027502,0.047365,0,0,0,1.03932044,0.0007601,3E-07,1.779E-05,0.00045786,-4.9E-07,0.00035973,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Head_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Head_pitch.STL,,최종 MX28-1;카메라_앞-1;앱코_웹캠-1;카메라_뒤-1,좌표계22,기준축20,Head_pitch_joint,revolute,0,0.000475,0.04825,0,0,0,Neck_yaw,0,-1,0,0,0,0,0,,,,,,,,
L_Shoulder_pitch,9.0068E-10,0.031774,-0.0016022,0,0,0,0.00983,1.39E-06,0,0,4.39E-06,-1.6E-07,4.52E-06,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Shoulder_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Shoulder_pitch.STL,,kubot25_shoulder-1,좌표계15,기준축13,L_Shoulder_pitch_joint,revolute,0.037561,0.06255,0.059244,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
L_Arm_roll,3.3313E-05,3.3313E-05,-0.0406,0,0,0,1.63108,0.00143237,0,1.12E-06,0.00143237,-1.12E-06,3.071E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Arm_roll.STL,,최종 MX28-5;팔_연결부-1;최종 MX28-6,좌표계16,기준축14,L_Arm_roll_joint,revolute,-0.000475,0.047406,-0.01045,0,0,0,L_Shoulder_pitch,1,0,0,0,0,0,0,,,,,,,,
L_Hand_pitch,1.6081E-11,2.1883E-09,-0.13605,0,0,0,0.06716,0.00027857,0,0,0.00027829,0,3.728E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hand_pitch.STL,,ks_hand_sm-1,좌표계17,기준축15,L_Hand_pitch_joint,revolute,0,0,-0.0812,0,0,0,L_Arm_roll,0,1,0,0,0,0,0,,,,,,,,
R_Shoulder_pitch,-4.4012E-10,-0.032976,-0.00078297,0,0,0,0.02530554,4.02E-06,0,0,1.155E-05,1.4E-07,1.268E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Shoulder_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Shoulder_pitch.STL,,kubot25_shoulder_collision-2;kubot25_shoulder-2,좌표계18,기준축16,R_Shoulder_pitch_joint,revolute,0.037561,-0.06245,0.059244,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
R_Arm_roll,3.1647E-05,-3.1647E-05,-0.0406,0,0,0,1.63108,0.00143237,0,1.22E-06,0.00143237,1.22E-06,3.071E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Arm_roll.STL,,최종 MX28-7;팔_연결부-2;최종 MX28-8,좌표계19,기준축17,R_Arm_roll_joint,revolute,-0.000475,-0.047406,-0.01045,0,0,0,R_Shoulder_pitch,1,0,0,0,0,0,0,,,,,,,,
R_Hand_pitch,1.6482E-11,2.1881E-09,-0.13605,0,0,0,0.06716,0.00027857,0,0,0.00027829,0,3.728E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hand_pitch.STL,,ks_hand_sm-2,좌표계20,기준축18,R_Hand_pitch_joint,revolute,0,0,-0.0812,0,0,0,R_Arm_roll,0,-1,0,0,0,0,0,,,,,,,,
L_Hip_yaw,-0.0014744,6.6613E-16,-0.039988,0,0,0,0.023559,8.7E-06,0,-7.7E-07,1.842E-05,0,1.691E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_yaw.STL,,삼각형-1;사각형-1;삼각형-2;HN05-i101-4,좌표계1,기준축1,L_Hip_yaw_joint,revolute,0.028062,0.05005,-0.077556,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
L_Hip_roll,0.029793,5.6241E-05,-0.015766,0,0,0,0.34600887,8.102E-05,5.2E-07,3.11E-06,0.00035597,6E-07,0.00032885,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_roll.STL,,ankle_idler-1;최종 MX-106-3;최종 MX-106-4;pelvis_motor_con-1;pelvis_motor_con-2,좌표계2,기준축2,L_Hip_roll_joint,revolute,-0.0595,0,-0.065879,0,0,0,L_Hip_yaw,1,0,0,0,0,0,0,,,,,,,,
L_Hip_pitch,2.1423E-06,0.00017035,-0.097401,0,0,0,0.22104,0.00032851,0,-1E-08,0.00028749,-9.2E-07,6.997E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_pitch.STL,,thigh-5;thigh-6;thigh_spacer-3;최종 MX-106-7;thigh_spacer-4,좌표계3,기준축3,L_Hip_pitch_joint,revolute,0.0562,0,0,0,0,0,L_Hip_roll,0,-1,0,0,0,0,0,,,,,,,,
L_Knee_pitch,7.3413E-15,0.0001,-0.069133,0,0,0,0.04,0.00010956,0,0,8.359E-05,0,3.194E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Knee_pitch.STL,,calf-4;calf-3,좌표계4,기준축4,L_Knee_pitch_joint,revolute,0,0.0001,-0.14,0,0,0,L_Hip_pitch,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_pitch,-0.026403,5.2916E-05,0.015768,0,0,0,0.3460088,8.102E-05,5.5E-07,-3.1E-06,0.00035603,-6E-07,0.00032891,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Ankle_pitch.STL,,ankle_idler-3;최종 MX-106-9;pelvis_motor_con-5;pelvis_motor_con-8;최종 MX-106-10,좌표계5,기준축5,L_Ankle_pitch_joint,revolute,0,0,-0.142,0,0,0,L_Knee_pitch,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_roll,0.05891,-7.6328E-16,-0.013829,0,0,0,0.01546878,5.03E-06,0,3.9E-07,1.725E-05,0,1.55E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Ankle_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Ankle_roll.STL,,HN05-i101-1;ankle_back-4;ankle_back-2,좌표계6,기준축6,L_Ankle_roll_joint,revolute,-0.0562,0,0,0,0,0,L_Ankle_pitch,1,0,0,0,0,0,0,,,,,,,,
L_Foot,0.0034202,0.027405,0.0039506,0,0,0,0.063,6.406E-05,-3E-08,2.07E-06,0.00014535,0,0.00020843,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Foot.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Foot.STL,,L_Foot-1,좌표계7,기준축1,L_Foot_joint,fixed,0.0595,-0.0001,-0.042,0,0,0,L_Ankle_roll,0,0,0,,,,,,,,,,,,
R_Hip_yaw,-0.0010223,0,-0.04111,0,0,0,0.023559,8.7E-06,0,-7.7E-07,1.842E-05,0,1.691E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_yaw.STL,,삼각형-3;사각형-2;삼각형-4;HN05-i101-3,좌표계8,기준축7,R_Hip_yaw_joint,revolute,0.028062,-0.04995,-0.077556,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R_Hip_roll,0.029797,-5.2916E-05,-0.015766,0,0,0,0.34601,8.102E-05,-5.5E-07,3.11E-06,0.00035603,-6E-07,0.00032891,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_roll.STL,,ankle_idler-2;최종 MX-106-5;최종 MX-106-6;pelvis_motor_con-4;pelvis_motor_con-3,좌표계9,기준축8,R_Hip_roll_joint,revolute,-0.0595,0,-0.065875,0,0,0,R_Hip_yaw,1,0,0,0,0,0,0,,,,,,,,
R_Hip_pitch,-2.1423E-06,-0.00017035,-0.097401,0,0,0,0.22104,0.00032851,0,1E-08,0.00028749,9.2E-07,6.997E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hip_pitch.STL,,thigh-7;thigh_spacer-2;thigh-8;thigh_spacer-1;최종 MX-106-8,좌표계10,기준축9,R_Hip_pitch_joint,revolute,0.0562,0,0,0,0,0,R_Hip_roll,0,-1,0,0,0,0,0,,,,,,,,
R_Knee_pitch,2.3592E-15,-0.0001,-0.069133,0,0,0,0.04,0.00010956,0,0,8.359E-05,0,3.194E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Knee_pitch.STL,,calf-2;calf-1,좌표계11,기준축10,R_Knee_pitch_joint,revolute,0,-0.0001,-0.14,0,0,0,R_Hip_pitch,0,-1,0,0,0,0,0,,,,,,,,
R_Ankle_pitch,-0.026407,-5.6241E-05,0.015768,0,0,0,0.34600887,8.102E-05,-5.2E-07,-3.09E-06,0.00035597,6E-07,0.00032885,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Ankle_pitch.STL,,ankle_idler-4;최종 MX-106-12;pelvis_motor_con-7;최종 MX-106-11;pelvis_motor_con-6,좌표계12,기준축11,R_Ankle_pitch_joint,revolute,0,0,-0.142,0,0,0,R_Knee_pitch,0,-1,0,0,0,0,0,,,,,,,,
R_Ankle_roll,0.05891,1.0426E-14,-0.013829,0,0,0,0.01546878,5.03E-06,0,3.9E-07,1.725E-05,0,1.55E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Ankle_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Ankle_roll.STL,,ankle_back-1;ankle_back-3;HN05-i101-5,좌표계13,기준축12,R_Ankle_roll_joint,revolute,-0.0562,0,0,0,0,0,R_Ankle_pitch,1,0,0,0,0,0,0,,,,,,,,
R_Foot,0.0034202,-0.1274,0.0039546,0,0,0,0.063,6.406E-05,3E-08,2.07E-06,0.00014535,0,0.00020843,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Foot.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Foot.STL,,R_Foot-1,좌표계7,기준축14,R_Foot_joint,fixed,0.0595,0.1001,-0.042004,0,0,0,R_Ankle_roll,0,0,0,,,,,,,,,,,,
